"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Weapon","Post","District","Neighborhood","Location.1","Total.Incidents"
"1","05/23/2015",906,"1F","100 S AUGUSTA AV","HOMICIDE","FIREARM",824,"SOUTHWESTERN","Irvington","(39.28469, -76.68482)",1
"2","05/23/2015",1328,"1F","2000 HOLLINS ST","HOMICIDE","FIREARM",836,"SOUTHWESTERN","Boyd-Booth","(39.28709, -76.64881)",1
"3","05/23/2015",1400,"1F","2800 ST LO DR","HOMICIDE","FIREARM",412,"NORTHEASTERN","Clifton Park","(39.31884, -76.58713)",1
"4","05/22/2015",2306,"1F","0 BENKERT AV","HOMICIDE","FIREARM",824,"SOUTHWESTERN","Saint Josephs","(39.28555, -76.67399)",1
"5","05/22/2015",2351,"1F","1900 WILHELM ST","HOMICIDE","FIREARM",934,"SOUTHERN","Carrollton Ridge","(39.28369, -76.64741)",1
"6","05/21/2015",129,"1F","1800 RAMBLEWOOD RD","HOMICIDE","FIREARM",423,"NORTHEASTERN","Loch Raven","(39.35851, -76.58023)",1
"7","05/20/2015",210,"1F","800 W SARATOGA ST","HOMICIDE","FIREARM",714,"WESTERN","Poppleton","(39.29261, -76.63109)",1
"8","05/20/2015",1555,"1F","2400 E MONUMENT ST","HOMICIDE","FIREARM",325,"EASTERN","Milton-Montford","(39.29882, -76.58362)",1
"9","05/20/2015",2336,"1F","500 N PULASKI ST","HOMICIDE","FIREARM",721,"WESTERN","Midtown-Edmondson","(39.29389, -76.65043)",1
"10","05/17/2015",1441,"1F","1700 N CAREY ST","HOMICIDE","FIREARM",732,"WESTERN","Penn North","(39.30915, -76.6431)",1
"11","05/17/2015",1701,"1F","100 S ARLINGTON AV","HOMICIDE","FIREARM",931,"SOUTHERN","Hollins Market","(39.28663, -76.6352)",1
"12","05/15/2015",2007,"1F","2500 N EDGECOMBE CR","HOMICIDE","FIREARM",534,"NORTHERN","Parklane","(39.34212, -76.65854)",1
"13","05/15/2015",2224,"1F","2400 E HOFFMAN ST","HOMICIDE","FIREARM",333,"EASTERN","Broadway East","(39.30685, -76.58412)",1
"14","05/14/2015",911,"1F","2100 EDMONDSON AV","HOMICIDE","FIREARM",723,"WESTERN","Midtown-Edmondson","(39.29505, -76.65084)",1
"15","05/14/2015",1105,"1O","1100 MONTPELIER ST","HOMICIDE","OTHER",513,"NORTHERN","Better Waverly","(39.32416, -76.60258)",1
"16","05/14/2015",1340,"1F","1900 E 31ST ST","HOMICIDE","FIREARM",414,"NORTHEASTERN","Coldstream Homestead Montebello","(39.32637, -76.58867)",1
"17","05/14/2015",1340,"1F","1900 E 31ST ST","HOMICIDE","FIREARM",414,"NORTHEASTERN","Coldstream Homestead Montebello","(39.32637, -76.58867)",1
"18","05/11/2015",1053,"1F","3400 CLIFTON AV","HOMICIDE","FIREARM",812,"SOUTHWESTERN","Mount Holly","(39.31095, -76.67558)",1
"19","05/10/2015",46,"1F","4100 ROCKFIELD AV","HOMICIDE","FIREARM",634,"NORTHWESTERN","Woodmere","(39.34628, -76.68912)",1
"20","05/10/2015",2221,"1F","5400 CRISMER AV","HOMICIDE","FIREARM",634,"NORTHWESTERN","Woodmere","(39.34651, -76.68993)",1
"21","05/10/2015",2233,"1F","1300 N CAREY ST","HOMICIDE","FIREARM",731,"WESTERN","Sandtown-Winchester","(39.30342, -76.639)",1
"22","05/10/2015",2257,"1F","5400 FAIRLAWN AV","HOMICIDE","FIREARM",634,"NORTHWESTERN","Woodmere","(39.34574, -76.69022)",1
"23","05/07/2015",2019,"1F","800 W LEXINGTON ST","HOMICIDE","FIREARM",714,"WESTERN","Poppleton","(39.29112, -76.63072)",1
"24","05/07/2015",1814,"1F","100 W PATAPSCO AV","HOMICIDE","FIREARM",912,"SOUTHERN","Brooklyn","(39.23918, -76.61125)",1
"25","05/07/2015",2213,"1F","500 N EAST AV","HOMICIDE","FIREARM",223,"SOUTHEASTERN","Ellwood Park/Monument","(39.29722, -76.57211)",1
"26","05/06/2015",710,"1F","2500 DRUID HILL AV","HOMICIDE","FIREARM",733,"WESTERN","Penn North","(39.31336, -76.64123)",1
"27","05/04/2015",1841,"1K","400 FALLSWAY","HOMICIDE","KNIFE",315,"EASTERN","Penn-Fallsway","(39.29281, -76.60859)",1
"28","05/04/2015",2134,"1F","1800 DRUID HILL AV","HOMICIDE","FIREARM",131,"CENTRAL","Druid Heights","(39.30632, -76.63385)",1
"29","05/03/2015",2133,"1F","3000 ELIZABETH AV","HOMICIDE","FIREARM",923,"SOUTHERN","Lakeland","(39.25528, -76.65107)",1
"30","05/02/2015",2336,"1F","2800 SILVER HILL AV","HOMICIDE","FIREARM",623,"NORTHWESTERN","Howard Park","(39.32636, -76.71003)",1
"31","05/01/2015",1128,"1F","300 S HIGHLAND AV","HOMICIDE","FIREARM",224,"SOUTHEASTERN","Highlandtown","(39.2884, -76.56917)",1
"32","04/30/2015",839,"1O","1700 PRESBURY ST","HOMICIDE","OTHER",732,"WESTERN","Sandtown-Winchester","(39.30798, -76.64493)",1
"33","04/30/2015",1205,"1F","800 MCKEAN AV","HOMICIDE","FIREARM",724,"WESTERN","Harlem Park","(39.29799, -76.64676)",1
"34","04/29/2015",1357,"1F","3800 Liberty Heights Av","HOMICIDE","FIREARM",625,"NORTHWESTERN","Callaway-Garrison","(39.32704, -76.68126)",1
"35","04/29/2015",1534,"1F","1600 HAZEL ST","HOMICIDE","FIREARM",911,"SOUTHERN","Curtis Bay","(39.22608, -76.58835)",1
"36","04/29/2015",2145,"1F","500 EDGEWOOD ST","HOMICIDE","FIREARM",815,"SOUTHWESTERN","Allendale","(39.29285, -76.67551)",1
"37","04/28/2015",2010,"1F","5100 PARK HEIGHTS AV","HOMICIDE","FIREARM",614,"NORTHWESTERN","Central Park Heights","(39.34843, -76.67491)",1
"38","04/26/2015",500,"1F","4500 WESTCHESTER RD","HOMICIDE","FIREARM",622,"NORTHWESTERN","Windsor Hills","(39.31817, -76.69041)",1
"39","04/26/2015",1244,"1O","400 FURROW ST","HOMICIDE","OTHER",835,"SOUTHWESTERN","Carrollton Ridge","(39.28239, -76.6518)",1
"40","04/25/2015",2345,"1F","4300 BELAIR RD","HOMICIDE","FIREARM",422,"NORTHEASTERN","Belair-Parkside","(39.3283, -76.56532)",1
"41","04/24/2015",2052,"1F","4100 W ROGERS AV","HOMICIDE","FIREARM",634,"NORTHWESTERN","Woodmere","(39.34695, -76.69084)",1
"42","04/23/2015",1225,"1F","","HOMICIDE","FIREARM",231,"SOUTHEASTERN","Canton","",1
"43","04/21/2015",1229,"1O","1800 ANNAPOLIS RD","HOMICIDE","OTHER",921,"SOUTHERN","Carroll - Camden Industrial Area","(39.27085, -76.63068)",1
"44","04/21/2015",2037,"1F","1500 N HILTON ST","HOMICIDE","FIREARM",812,"SOUTHWESTERN","Rosemont","(39.30452, -76.67211)",1
"45","04/17/2015",329,"1F","","HOMICIDE","FIREARM",625,"NORTHWESTERN","","",1
